Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
1,1,1,Calculate and report the conditional probabilities that help to investigate if using PMH increases the chance of getting breast cancer.,Code,,,,,,,,4,Low,"Basic Concepts in Statistics, EDA, Data Manipulation",
1,1,2,Calculate and report the odds ratio for the table above. Interpret it in the context of this study.,Code,,,,,,,,6,Med,"Basic Concepts in Statistics, EDA	",
2,2,1,"In order to get the prediction of p of the test points using a tted 10-NN classifier, the R code is of the form
pred.prob = knn(train, test, cl, k = 10,___)
where in the blank space, we add",MCQ,type = prob,type = class,prob = TRUE,type = response,type = raw,,,2.5,Low,"Supervised Learning, KNN, Data Manipulation",
2,2,2,"Using a fitted decision tree, named fit, the prediction of p of the test points is obtained by
pred.prob = predict(fit, new.data = test, ___)
where in the blank space, we add",MCQ,type = prob,type = class,prob = TRUE,type = response,type = raw,,,2.5,Low,"Supervised Learning, Decision Trees, Data Manipulation",
2,2,3,"Using a fitted Naive Bayes classier, named nb, the prediction of pof the test points
is obtained by
pred.prob = predict(nb, new.data = test, ___)
where in the blank space, we add",MCQ,type = prob,type = class,prob = TRUE,type = response,type = raw,,,2.5,Low,"Supervised Learning,Naïve Bayes, Data Manipulation",
2,2,4,"Using a fitted logistic regression, named lr, the prediction of p of the test points is
obtained by
pred.prob = predict(lr, new.data = test, ___)
where in the blank space, we add",MCQ,type = prob,type = class,prob = TRUE,type = response,type = raw,,,2.5,Low,"Supervised Learning , Logistic Regression, Data Manipulation",
3,3,1,Type the equation of model M into the R code file as comments. Explain in detail if any notation is used in the equation.,Code,,,,,,,,2,Med,"Linear Modeling, Basic Concepts in Statistics",
3,3,2,Report the coeffecient of variable color in model M and interpret it.,Code,,,,,,,,2,Med,"Linear Modeling, Basic Concepts in Statistics",
3,3,3,Report the coecient of variable weight in model M and interpret it. Is it signicant in model M? Explain.,Code,,,,,,,,2,Med,"Linear Modeling, Basic Concepts in Statistics, Model Validation",
3,3,4,"Calculate and report the odds ratio of having satellites between two crabs below:
Crab A: weight = 3 kg, color = light;
Crab B: weight = 2 kg, color = dark.",Code,,,,,,,,4,High,"Supervised Learning, Logistic Regression, Basic Concepts in Statistics",
