Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
,1,,"This question is to be answered using Python.
Consider the stud_perf dataset once again. There were three measures of performance of the students:

 Feature	Description  	Details
 G1	 First period grade	 from 0 to 20
 G2	 Second period grade   	 from 0 to 20
 G3	 Final grade	 from 0 to 20

In this question, we shall investigate the agreement between G1 and G3 scores. If there is a high agreement, it means that teachers can drop one of the scores and still get a good estimate of final grade of a student.
1. First, read in the dataset, and divide the G1 and G3 scores into 10 bins:
• [0,2], (2,4], (4,6], (6,8], (8,10], (10,12], (12,14], (14,16], (16,18], (18,20]
• You should now have two new columns G1_bin and G3_bin in the dataset.

2. Next, create a contingency table with G1_bin in the rows and G3_bin in the columns.

3. Convert the cell counts into proportions. The sum of entries in all cells should now equal to 1. Create a visualisation of this table of proportions that is relevant to the goal of measuring agreement.

4. If we let pij be the proportion in row i and column j, then the strictest version of agreement is η0=∑i=110pii What is the range of values for η0? Which values correspond to higher agreement?

5. A less stringent measure of agreement is given by η1=∑|i−j|≤1pij Compute η1 separately for the five groups defined by Medu and summarise what you observe.",Code,,,,,,,,8,High,"Data Manipulation, EDA, Model Validation",
,2,,"In 1935, Sir R A Fisher described an experiment involving a British woman. The woman claimed that if she was presented with a cup of milk tea, she would be able to distinguish whether milk or tea was added to the cup first. To test, she was given 8 cups of tea, in four of which milk was added first.
The data collected was as follows:

 	  Actual Milk  |  Actual  Tea
Guessed Milk   	3 | 1
Guessed Tea  	1 | 3
Suppose that Fisher’s Exact Test was applied to assess if there was any association between her guesses and the truth. Under the null hypothesis of Fisher’s Exact Test, what is the probability of observing the table above?",MCQ,0.5,0.25,0.5625,0.228,,D,,1,High,"Conditional Probability, Hypothesis Testing, Exact Test",
,3,,"Consider the following two histograms (created with Python) from the liverpool dataset used in Tutorial 2:
!(ST2137_Questions_Figure1.png)

What is the argument needed to convert the Histogram A into Histogram B?
liverpool.GF.hist(    1    )",MCQ,freq=False,density=True,"type=""percent""","type=""density"" ",,A,,1,Low,"Data Manipulation, EDA, Model Validation",ST2137_Questions_Figure1.png
,4,,"The data in phones.csv contains information on phone calls made in Belgium from 1950 until 1973. Let Y be the number of calls, and X be the year variable. Read the data into Python as a pandas dataframe and answer the following questions:

1. Write a function that takes in three arguments: beta0, beta1, and the phones dataframe. It should compute the following L1-norm and return it: ∑i=1n|Yi−β0−β1Xi|

2. Iterate over a range of beta0 and beta1 values and find the pair that minimizes the L1-norm. Return this pair of beta0 and beta1 values.

3. Create a plot of this line, along with the OLS estimate, along with the datapoints.

4. Discuss the benefits of the L1-fit over the OLS fit.",Code,,,,,,,,8,High,"Regression, Optimization, Data Manipulation",
,5,,"Suppose that the data in liverpool_2223_season.csv has been read into Python as liverpool. The following code tabulates the goal counts for and stores them in a column in goal_counts.
goal_counts =pd.DataFrame(np.zeros((10, 2), dtype='int'), columns=['GF', 'GA']) 
tmp2 =liverpool.GF.value_counts() 
goal_counts.loc[tmp2.index, 'GF'] =tmp2
Continue the code to fill up the second column, which tabulates the goal counts against into the second column of goal_counts. Then create the following bar chart, which compares the GF and GA:
!(ST2137_Questions_Figure2.png)",,,,,,,,,4,Med,"Data Manipulation, EDA, Model Validation",ST2137_Questions_Figure2.png
,6,,"What is the most likely solution to the error below?
!(ST2137_Questions_Figure3.png)",MCQ,"The function to read the file is read.csv, not read_csv.",The pandas package has to be imported.,The pandas package has to be installed.,The separator has to be specified as sep=';'.,,B,,1,Low,"Data Manipulation, Debugging",ST2137_Questions_Figure3.png
,7,,"The heifers dataset was introduced on in the topic on ANOVA. An analyst used SAS to run the ANOVA procedure and estimate the contrast comparing the Control group to the rest of the five groups. This is the code that the analyst used:
proc glm data=ST2137.HEIFERS; 
class type; 
model org=type / clparm; 
means type / hovtest=levene welch plots=none; 
lsmeans type / adjust=tukey pdiff alpha=.05; 
estimate 'control vs. rest' type -1 5 -1 -1 -1 -1 / divisor=5; 
run; 
The essential output for this particular contrast can be seen in the following figures:

!(ST2137_Questions_Figure4.png)

Use Python to recreate
1.	the point estimate of the contrast, and
2.	the confidence interval for the contrast.",Code,,,,,,,,6,High,"Inferential Statistics, ANOVA, Data Manipulation, Linear Modeling",ST2137_Questions_Figure4.png
,9,,"What is the length of the resulting output in this Python code?
my_list =['a', 'b', 'c', 'd', 'e', 'f', 'g', 'h', 'i', 'j'] 
result =my_list[2:8:2] 
len(result)",MCQ,6,4,3,2,,C,,1,Low,Data Manipulation,
,11,,"Suppose that x is a numpy array with shape (2,2) and y is a numpy array with shape (2,1). What is the name of the numpy function for adding column y as a new column to x (making it have shape (2,3))?",MCQ,np.cbind(),np.stack(),np.hstack(),np.concatenate(),,C,,1,Low,"Data Manipulation, NumPy",
,12,,"In many manufacturing processes, the term work-in-progress is often abbreviated to WIP. In a book manufacturing plant, WIP represents the time it takes for sheets from a press to be folded, gathered, sewn, tipped (with glue) on end sheets, and finally bound together.
The data set wip.txt contains samples of 20 books from each of two production plants, and the time for WIP (defined as the time in hours from when the books came off the press till they were packed in cartons).
There are two variables in the data set: time and plant (either 1 or 2).
Consider the following output. For the raw data, when we construct boxplots for each plant, there is a single outlier for each plant (the maximum value in each group).
## time 
##   count mean    std      min  25%    50%    75%    max 
## plant 
## 1 20.0  9.3820  3.997653 4.42 7.4475 8.515  11.045 21.62 
## 2 20.0  11.3535 5.126156 2.33 8.4400 11.960 13.845 25.75
If we had applied a log (base e) transform to time before creating the boxplots, would these two points still be outliers? Explain your answer clearly using the summary statistics above only.",SRQ,,,,,,,,4,High,"EDA, Basic Concepts in Statistics, Robustness",
