Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
,1,,Which of the following is an example of a classification problem?,MCQ,Predicting tomorrow’s stock price based on today’s price.,Predicting the rental price of an apartment.,Identifying whether a tumor is present in an MRI scan.,Estimating how much a customer will spend on their next purchase.,,C,"A, B, D: Regression
C: Classification",,Low,"Supervised Learning, Basic Concepts in Statistics",
,2,,Which preprocessing technique is suitable when your dataset contains categorical variables?,MCQ,Scaling,Principal Component Analysis (PCA),One-Hot Encoding,Feature Extraction,,C,"A is for converting transforming numerical variables to have the same scale.
B is used for:
  * dimension reduction - reducing the number of continuous variables to a smaller subset, that 
    consists of linear combinations of the original ones.
  * removing correlation between numeric variables - this can improve prediction.
C converts a single column containing the character version of the categorical
  variable into a set of 0/1 columns representing it. ML methods require numeric inputs..
D is a process whereby only important columns for prediction are retained.",,Low,"Data Manipulation, Supervised Learning",
,3,,"What is the shape of the *training dataset* (without the labels) when the following 
code is executed?

```{python eval=FALSE}
from sklearn.model_selection import train_test_split
import numpy as np

# Generate sample data
X = np.random.rand(100, 5)  
y = np.random.randint(0, 2, 100)  

X_train, X_test, y_train, y_test = train_test_split(X, y, test_size=0.2, random_state=42)
print(X_train.shape)
```",MCQ,"(80, 5)","(100, 5)","(20, 5)","(80, 2)",,A,,,Low,"Supervised Learning, Data Manipulation",
,4,,Which method in scikit-learn estimators is used to estimate the parameters of a model using the training data?,MCQ,`fit()`,`predict()`,* `score()`,* `transform()`,,A,"A: True
B: This is used *after* fitting; to make predictions.
C: This returns the *score* (e.g. $R^2$ or RMSE) on a new dataset, after fitting has been done.
D: This is also only called *after* fitting: to transform a dataset, e.g. scaling, PCA, etc. ",,Low,"Supervised Learning, Data Manipulation",
,5,,"Given a feature matrix `X` of shape $100 \times 5$, what is the shape of the corresponding label vector `y`?",MCQ,"(1,5)","(100,1)","(100,)","(5,1) ",,C,,,Low,"Data Manipulation, Basic Concepts in Statistics",
,6,,"What is the output of the following code snippet?

```{python eval=FALSE}
from sklearn.metrics import accuracy_score

y_true = [1, 0, 1, 1, 0]
y_pred = [1, 0, 0, 1, 1]
print(accuracy_score(y_true, y_pred))
```",MCQ,0.2,There will be an error message because no model has been fitted.,0.4,0.6,,D,"A Incorrect.
B The function only requires a `ytrue` and a `ypred` array. It will still run as per normal.
C Incorrect.
D Correct - accuracy is the number of correct predictions (3) divided by the number of 
  total predictions made (5).",,Med,"Model Validation, Supervised Learning, Data Manipulation",
,7,,Which of the following scikit-learn models is/are typically used for regression problems (not classification)?,MRQ,Decision Tree Regression, Logistic Regression,Linear Regression,Naive Bayes,,"A, C","A Correct
B This is a model for performing binary classification.
C Correct.
D This is used for classification.",,Low,"Supervised Learning,Regression",
1,8,,"Consider a new wine with the following features, but unknown `type`. 
```{python, echo=FALSE}
wine2.sample(n=1, random_state=2002).iloc[:, 0:11].T
```

Apply the decision tree rules to the above features to estimate the probability that the wine is *white*.",MCQ,0.995,0.005,0.01,0.99,,B,"The correct leaf is the eighth from the left. Note that darker blue indicates higher probability of red, and darker orange indicates higher probability of white. In the terminal node, there are 5 instances of white and 987 instances of red. Hence the estimated probability is 5/(987 + 5) = 0.005.

A is the estimated probability of red.
B Correct
C Incorrect - uses gini, which is not probability.
D Incorrect - uses gini, which is not probability.",,Med,"Supervised Learning, Decision Tree, Model Validation",
1,9,,"Consider a new wine with the following features, but unknown `type`. 
```{python, echo=FALSE}
wine2.sample(n=1, random_state=22).iloc[:, 0:11].T
```

Apply the decision tree rules to the above features to estimate the probability that the wine is *red*.",MCQ,0.008,0.992,0.016,0.984,,A,"The correct leaf is the eighth from the right. Note that darker blue indicates 
higher probability of red, and darker orange indicates higher probability of 
white. In the terminal node, there are 3617 instances of white and 30 instances 
of red. Hence the estimated probability is 30/(30+3617) = 0.008.

A Correct
B This is the estimated probability of white.
C Incorrect - uses gini, which is not probability.
D Incorrect - uses gini, which is not probability.",,Med,"Supervised Learning, Decision Tree, Model Validation",
2,10,,"Compute the following metrics for **white wine** category, to 3 d.p.:

* precision: ______(1)______
* recall:    ______(2)______
* accuracy:  ______(3)______",SRQ,,,,,,"1. 0.985,
2. 0.997
3. 0.987","1. 3908/(3908+60) = 0.985
2. 3908/(3908+10) = 0.997
3. (3908+1219)/(5197) = 0.987",,Med,"Supervised Learning, Decision Trees, Model Validation, Basic Concepts in Statistics",
