Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
,1,,"From a collection of nine paintings, four are to be selected to hang side-by-side on a gallery wall in positions 1, 2, 3 and 4. In how many ways can this be done?",MCQ,3024,6561,24,,,A,,1,Low,"Combinatorics, Permutations (Ordered Selection)",
,2,,"A group of 60 freshmen are to be randomly assigned into two classes of 30 students each, one on the first floor and one on the second floor. In how many ways can this be done?",MCQ,60C30,(60C30) / 2!,2! X (60C30),,,A,,1,Low,"Combinations (Unordered Selection), Binomial Coefficient, Combinatorics",
,3,,"Suppose we have with us a biased coin. In other words, the probability of heads is p, where p >0.5. We flip the coin twice, and define the following events:
A1: we observe head followed by a tail
A2: we observe a tail followed by a head.
What is P(A1 | A1 U A2)?",MCQ,0.5,p,1-p,,,A,,1,Low,"Conditional Probability, Probability Axioms",
,4,,"If 8 identical blackboards are to be divided among 4 schools, how many divisions are possible?

Answer: 8! / 4!4!",T/F,True,False,,,,B,,1,Med,"Stars and Bars (Identical Items), Combinatorics",
,5,,"If 8 distinct blackboards are to be divided equally among 4 schools, how many possible assignments are there?",MCQ,8! / (2!2!2!2!) ,8C4,8!/4!,,,A,,1,Med,"Permutations, Multinomial Coefficient (Distinct Items), Combinatorics",
,8,,"A fair coin is tossed independently 10 times. Define the following events:
Ak: the k-th toss is heads
S: the total number of heads observed in the 10 tosses is even. (Note that 0 is an even number).
What is P(S | A1 A2 A3 ... A10)?",MCQ,True,False,(0.5)^10,,,A,,1,Med,Conditional Probability,
,9,,"Two players, A and B, alternately and independently flip a coin and the first player to obtain a head wins. Assume player A flips first. Define Ei to be the event that head appears first on the i-th toss. Which of the following statements is true about the sequence of events Ei?",MCQ,E2 is a proper subset of E1,E1 is a proper subset of E2,Neither of the above statements are true.,,,C,,1,Med,"Sequence of Events, Game theory, Probability Axioms",
,10,,"Suppose that p(x) and q(x) are two distinct pmfs. Then for any b such that 0 <b <1, r(x) = bp(x) + (1-b)q(x) is also a pmf.",T/F,True,False,,,,A,,1,Low,"PMF Axioms, Random Variables, Probability Axioms",
,12,,Two fair six-sided dice are rolled. Let X be the product of the two dice. What is P(X >= 33)?,MCQ,1/36,33/36,3/36,,,A,,1,Low,"Probability on Sample Space (Counting Outcomes), Probability Axioms",
,15,,A deck of playing cards has 52 cards. Four of these cards are Aces. Suppose that a well-shuffled deck of cards is dealt out. What is the probability that the 14th card dealt out is an Ace?,MCQ,1/13,1/4,1/52,,,A,,1,Low,"Position Independence, Probability Axioms",
