Context ID,Question Number,Sub-Question Number,Question Text,Question Type,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation,Points,Difficulty,Concepts,Attachment
1,1,1,Write code to change the name of the 4th column of data to Surgical.,Code,,,,,,"names(data)[4] = ""Surgical"" 
names(data)",,2,Low,Data Manipulation,
1,1,2,Write code to create a table of proportions for column Surgical. Report the percentage of patients that had surgery.,Code,,,,,,"# table(data$Surgical) # RAW FREQUENCY: 14 patient got Surgical
prop.table(table(data$Surgical))*100 # PERCENTAGE TABLE 
# 56% of patients had surgery 

attach(data)",,2,Low,"Data Manipulation, Basic Concepts in Statistics",
1,1,3,Write code to create a histogram with normal density curve overlay-ed for the sample of satisfaction.,Code,,,,,,"hist(Satisfaction, freq = FALSE) 
n = length(Satisfaction)

hist(Satisfaction, freq=FALSE, main = paste(""Histogram of Total Sales""),
     xlab = ""total sales"", ylab=""Probability"", 
     col = ""grey"")#, ylim = c(0, 0.002))
x <- seq(0, max(Satisfaction), length.out=n)
y <- dnorm(x, mean(Satisfaction), sd(Satisfaction))
lines(x, y, col = ""red"") # this is the normal density curve 
",,2,Low,"Data Manipulation, EDA",
1,1,4,Write code to create a QQ plot for the sample of satisfaction. Give your comments.,Code,,,,,,"qqnorm(Satisfaction, pch = 20)
qqline(Satisfaction, col = ""red"") 

# COMMENTS: BOTH LEFT TAIL AND RIGHT TAIL ARE NOT CLEARLY CONTRADICT FROM NORMAL 
# SOME MIGHT SAY: RIGHT TAIL POSSIBLY/LIGHTLY SHORTER THAN NORMAL",,2,Low,"Data Manipulation, EDA, Basic Concepts in Statistics	",
1,1,5,Write code to create box plots of the satisfaction scores by groups of surgical status. Give your comments.,Code,,,,,,"boxplot(Satisfaction ~ Surgical) 
# the median point of satisfaction for patients got surgical is lower.
# 2 boxes are overlapping. 
# Hence, NO clear difference in the satisfaction points of patients with or without surgical. 
# no outlier for both groups ",,4,Med,"Data Manipulation, EDA",
1,1,6,Write code to create a scatter plot of satisfaction score against the age of patients for which the points are classied by the surgical status: points of patients had surgical is in red color and points of patients with no surgical is in blue color. Give your comments.,Code,,,,,,"plot(Satisfaction ~ Age, type = ""n"")
points(Satisfaction[which(Surgical == 1)] ~ Age[which(Surgical==1)], col = ""red"", pch = 20)
points(Satisfaction[which(Surgical == 0)] ~ Age[which(Surgical==0)], col = ""blue"", pch = 20)
legend(25, 50, legend = c(""Surgical"", ""No surgical""), col = c(""red"",""blue""), pch=c(20,20))


cor(Satisfaction, Age) # -0.87
# strong negative association, quite linear  
# the variablity of satisfaction is quite stable when age changes ",,6,Med,"Data Manipulation, EDA",
1,1,7,"Fit a linear regression model for the response variable Satisfaction, named as M, using all input features, Age, Severity, Surgical and Anxiety. Report p-values of the regressors that are NOT signicant in the model, at signicance level 0.1.",Code,,,,,,"data$Surgical = as.factor(data$Surgical) # 

M = lm(Satisfaction ~ Age + Severity + Surgical + Anxiety, data = data) 

summary(M)

# variable that is the most non-significant is Surgical with p-value 0.5968 ",,4,Med,"Linear Modeling, Model Validation, Basic Concepts in Statistics",
1,1,8,"Two patients, A and B, that have information listed below. Write code to predict the satisfaction score for both of them. Report the prediction values.
A: Age = 35, Severity = 45, Anxiety = 2.5 , and had no surgical.
B: Age = 60, Severity = 40, Anxiety = 3 , and had surgical.",Code,,,,,,"new = data.frame(Age = c(35, 60), Severity = c(45, 40), Surgical = c(""0"", ""1""), Anxiety = c(2.5, 3))  

predict(M, newdata = new) 

# REPORT THE OUTCOMES
# A: 82.19378 
# B: 58.83136",,4,Med,"Linear Modeling, Data Manipulation",
1,1,9,"Write R code to create a new column in data, names as S where S has two categories: Good and Not Good. 
S is Good if the satisfaction score in Satisfaction is larger than 70; and S is Not Good if the satisfaction score in Satisfaction is ≤ 70.",Code,,,,,,"data$S = ifelse(data$Satisfaction >70, ""Good"", ""Not Good"")

head(data) # 6 columns",,2,Low,Data Manipulation,
1,1,10,"Write code to create a new data frame, called data.X which has the three columns Age, Severity and Anxiety after standardization for all patients.",Code,,,,,,"data.X = scale(data[, c(2,3,5)]) # scale Age, Severity and Anxiety",,2,Low,"Data Manipulation, Unsupervised Learning",
1,1,11,"Write code to randomly split the total patients into two groups: one group has 15 patients (will be the train set) and other group has the rest of patients (will be the test set).
For the questions below, we consider S as the response variable. We would want to form KNN classiers using input features Age, Severity and Anxiety which helps to predict if a patient ranks Good or Not Good when the patient discharges from the hospital.",Code,,,,,,"n1 = 15 # number of points in train set

n2 = 10 # number of points in test set

label = c(rep(1, n1), rep(2, n2))  # this has length of 25  
# create n1 number 1 and n2 number 2, to use them as labels
# label 1 is for train set; label 2 is for test set.
# we'll assign the labels to each row randomly

label = sample(label) 
# we mix well the labels with each other in a random order

test.row <- which(label == 2) 
# get the index of the points that will be in the test set
test.X = data.X[test.row, ]
test.Y = data[test.row, 6]

train.X = data.X[-test.row, ]
train.Y = data[-test.row, 6]



cbind(test.X, test.Y) # for reference 
cbind(train.X, train.Y) # for reference 

### NOTE: STUDENT MIGHT HAVE DIFFERENT WAYS TO RANDOMLY SPLIT 25 POINTS INTO TRAIN AND TEST. 
# PLEASE CHECK CAREFULLY AND AWARD THE POINTS IF THEY DO IT CORRECTLY.

",,4,Med,"Data Manipulation, Model Validation",
1,1,12,"Use the train set with three standardized features to form the KNN classiers where k = 3, 5, 7, 9, 11, and accuracy value for each classier is kept in a vector named accuracy.",Code,,,,,,"library(class)

K = c(3, 5, 7, 9, 11) 
# length(K) = 5

accuracy= numeric()
 
for (i in K){ 

	pred <- knn(train=train.X, test=test.X, cl=train.Y, k=i) 
	# KNN with k receiving value as in vector K

      confusion.matrix = table(test.Y, pred)  
      
      accuracy =append(accuracy, sum(diag(confusion.matrix))/sum(confusion.matrix) )
      }",,6,High,"Supervised Learning, KNN, Model Validation, Data Manipulation",
1,1,13,Write code to plot accuracy against k in the question above.,Code,,,,,,"accuracy
# [1] 0.8 0.9 0.8 1.0 0.8

plot(K, accuracy, xlab = ""k"", ylab = ""Accuracy"", pch = 20, col = ""red"", type = ""l"")",,2,Low,"Supervised Learning , KNN, EDA, Data Manipulation",
1,1,14,"Using accuracy as the criterion, report the best k found and the accuracy of the KNN classier with that value of k.",Code,,,,,,"cbind(K, accuracy) 
# this helps to check which value of k gives highest accuracy

# Report: k = 9 is the best",,2,Low,"Supervised Learning, KNN, Model Validation",
